종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","79900","200","0.25","4.76985626E8"
"000660","SK하이닉스","123000","3500","2.93","8.9544291E7"
"051910","LG화학","892000","0","0.00","6.296837E7"
"035420","NAVER","358000","2500","0.70","5.8806295E7"
"207940","삼성바이오로직스","850000","-8000","-0.93","5.624025E7"
"035720","카카오","118000","1500","1.29","5.2375147E7"
"005380","현대차","227500","-500","-0.22","4.8609513E7"
"006400","삼성SDI","643000","8000","1.26","4.4215593E7"
"068270","셀트리온","272000","10000","3.82","3.7513297E7"
"000270","기아","81800","-500","-0.61","3.3158722E7"
"005490","POSCO","358000","2500","0.70","3.1212887E7"
"012330","현대모비스","277000","-2000","-0.72","2.6257687E7"
"028260","삼성물산","138000","1500","1.10","2.5790417E7"
"096770","SK이노베이션","273500","2000","0.74","2.5289332E7"
"066570","LG전자","153500","4000","2.68","2.5119939E7"
"105560","KB금융","58100","1200","2.11","2.415844E7"
"051900","LG생활건강","1508000","3000","0.20","2.3552241E7"
"017670","SK텔레콤","314000","-500","-0.16","2.2626885E7"
"003550","LG","126500","0","0.00","2.1828477E7"
"055550","신한지주","41900","900","2.20","2.1645521E7"
"036570","엔씨소프트","859000","13000","1.54","1.8858505E7"
"034730","SK","269500","4500","1.70","1.89621E7"
"090430","아모레퍼시픽","291000","5000","1.75","1.7011421E7"
"011200","HMM","49350","1600","3.35","1.7045119E7"
"032830","삼성생명","84400","-100","-0.12","1.688E7"
"015760","한국전력","24900","0","0.00","1.5984906E7"
"018260","삼성에스디에스","182000","2500","1.39","1.408276E7"
"086790","하나금융지주","45750","450","0.99","1.3736074E7"
"009150","삼성전기","168000","4000","2.44","1.2548541E7"
"251270","넷마블","138000","500","0.36","1.1861583E7"
"003670","포스코케미칼","148000","1000","0.68","1.1464557E7"
"033780","KT&G","82700","200","0.24","1.135409E7"
"003490","대한항공","31250","1600","5.40","1.0869401E7"
"010950","S-Oil","96000","1700","1.80","1.0807948E7"
"009540","한국조선해양","146500","-1500","-1.01","1.0368261E7"
"000810","삼성화재","208000","0","0.00","9853966.0"
"011170","롯데케미칼","283500","3500","1.25","9717081.0"
"352820","하이브","260500","-3000","-1.14","9279989.0"
"326030","SK바이오팜","112500","1500","1.35","8810241.0"
"010130","고려아연","464500","3000","0.65","8765115.0"
"009830","한화솔루션","45600","850","1.90","8722299.0"
"030200","KT","32800","200","0.61","8564467.0"
"018880","한온시스템","16250","-300","-1.81","8674250.0"
"034220","LG디스플레이","22800","-100","-0.44","8158198.0"
"316140","우리금융지주","11050","0","0.00","7981058.0"
"024110","기업은행","10700","100","0.94","7964016.0"
"004020","현대제철","53700","500","0.94","7166039.0"
"097950","CJ제일제당","474000","22500","4.98","7135684.0"
"086280","현대글로비스","187500","1000","0.54","7031250.0"
"011780","금호석유","226500","4000","1.80","6900932.0"
"032640","LG유플러스","14900","-200","-1.32","6505509.0"
"002790","아모레G","76300","2300","3.11","6291559.0"
"006800","미래에셋증권","10050","50","0.50","6384930.0"
"161390","한국타이어앤테크놀로지","48750","0","0.00","6038910.0"
"021240","코웨이","82000","1200","1.49","6051569.0"
"034020","두산중공업","14700","150","1.03","6210479.0"
"000720","현대건설","52100","-1100","-2.07","5801635.0"
"267250","현대중공업지주","71900","300","0.42","5679603.0"
"035250","강원랜드","27250","1700","6.65","5829879.0"
"071050","한국금융지주","104500","1000","0.97","5823366.0"
"011790","SKC","131500","1500","1.15","4979681.0"
"241560","두산밥캣","49850","1600","3.32","4997421.0"
"271560","오리온","119500","1500","1.27","4724568.0"
"000100","유한양행","64300","200","0.31","4499261.0"
"008930","한미사이언스","67800","1200","1.80","4563253.0"
"011070","LG이노텍","196000","5500","2.89","4638753.0"
"139480","이마트","156500","1500","0.97","4362566.0"
"078930","GS","46700","650","1.41","4339148.0"
"180640","한진칼","67500","3800","5.97","4472729.0"
"016360","삼성증권","45750","650","1.44","4085475.0"
"128940","한미약품","331500","-2000","-0.60","4003950.0"
"006280","녹십자","347500","1500","0.43","4061072.0"
"028670","팬오션","7120","390","5.79","3806135.0"
"004990","롯데지주","36800","1400","3.95","3860660.0"
"000120","CJ대한통운","169500","3000","1.80","3866692.0"
"005940","NH투자증권","13500","150","1.12","3799020.0"
